id_festival,nom_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,site_internet_festival,adresse_mail_festival,decennie_creation_festival,annee_creation_festival,discipline_dominante_festival,sous-categorie_spectacle_vivant,sous-categorie_musique,sous-categorie_cinema_et_audiovisuel,sous-categorie_arts_visuels_et_numeriques,sous-categorie_livre_et_litterature,periode_principale_deroulement_festival,geocodage_xy_festival,geocodage_latitude_festival,geocodage_longitude_festival,,,,,,,,,,,,,,,,
28,Salon du livre et de la BD de Creil,Communale,60175,Allée Nelson,"Espace culturel La Faïencerie, allée Nelson",https://www.lavilleauxlivres.com,lavilleauxlivres@orange.fr,De 1980 à 1989,1986,"Livre, littérature",,,,,Généraliste,Après-saison (6 septembre - 31 décembre),"49.2533487138, 2.48472669359",49.2533487138,2.48472669359,,,,,,,,,,,,,,,,
29,La BD sur un plateau,Communale,43051,21 Route Du collège,Association Art et Sens La culture sur un plateau,,,2010 et après,3ème,"Livre, littérature",,,,,Bande dessinée,Après-saison (6 septembre - 31 décembre),"45.0524632592, 4.31966525163",45.0524632592,4.31966525163,,,,,,,,,,,,,,,,
30,Interférences,Communale,69123,11 Rue de l'Annonciade,Scènes publiques,,prog.interferences@gmail.com,2010 et après,2015,"Cinéma, audiovisuel",,,Documentaires,,,Après-saison (6 septembre - 31 décembre),"45.759723, 4.842223",45.759723,4.842223,,,,,,,,,,,,,,,,
31,La Rue des enfants,Communale,46201,1 Place des Consuls,,http://laruedesenfants.org,info@laruedesenfants.org,De 2000 à 2009,2009,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"44.335497631, 1.21192283879",44.335497631,1.21192283879,,,,,,,,,,,,,,,,
32,Salon du livre et de l'illustration,Communale,60382,70 Rue Aimé Dennel,"Médiathèque Jean Moulin, 70 rue Aimé Dennel",http://www.mediatheque-margnylescompiegne.fr/,contact-mjm@mairie-margnylescompiegne.fr,De 2000 à 2009,2001,"Livre, littérature",,,,,"Jeunesse, littérature et écriture contemporaine, sciences humaines, sociale, lettres, sciences fondamentales",Après-saison (6 septembre - 31 décembre),"49.4329968709, 2.8054861143",49.4329968709,2.8054861143,,,,,,,,,,,,,,,,
33,Le Samoëns American festival,Communale,74258,1 Place du Gros Tilleul,,,adrien@samoens.com,De 2000 à 2009,,Spectacle vivant,Danse,,,,,Saison (21 juin - 5 septembre),"46.0878467821, 6.74329361493",46.0878467821,6.74329361493,,,,,,,,,,,,,,,,
34,Bulles en Nord,Communale,59367,Avenue Paul Bert,Avenue Paul Bert,https://fr-fr.facebook.com/pages/category/Interest/Festival-Bulles-en-Nord-Lys-lez-Lannoy-1515137362077712/,p.delgrange@laposte.net,De 1980 à 1989,1987,"Livre, littérature",,,,,"Bande dessinée, comics, manga",Après-saison (6 septembre - 31 décembre),"50.6721775091, 3.2172382556",50.6721775091,3.2172382556,,,,,,,,,,,,,,,,
35,Roubaix Comics,Communale,59512,9 Rue de l'Hospice,Salle Watremez,https://lillecomicsfestival.com,contact@lillecomicsfestival.com,2010 et après,2019,"Livre, littérature",,,,,"Bande dessinée, comics, manga",Avant-saison (1er janvier - 20 juin),"50.6879774811, 3.18258434623",50.6879774811,3.18258434623,,,,,,,,,,,,,,,,
36,Cinémas du Sud,Communale,69123,3 Rue des Pierres plantées,Institut Lumière,https://www.regardsud.com,regard.sud@orange.fr,De 1990 à 1999,1999,"Cinéma, audiovisuel",,,Fiction long métrage,,,Avant-saison (1er janvier - 20 juin),"46.1927452094, 4.45130908694",46.1927452094,4.45130908694,,,,,,,,,,,,,,,,
37,Festival Europa Revel,Communale,31451,20 Rue Jean Moulin,Mairie De Revel,https://www.facebook.com/festivaleuropa/,,2010 et après,,Musique,,"Musiques électroniques, techno",,,,Saison (21 juin - 5 septembre),"43.4656037799, 1.99689394052",43.4656037799,1.99689394052,,,,,,,,,,,,,,,,
38,Ecrivains en Grésivaudan,Communale,38214,5 Lotissement Chantemont,Association Ecrivains en Grésivaudan,,,De 2000 à 2009,19ème,"Livre, littérature",,,,,Fiction,Après-saison (6 septembre - 31 décembre),"45.3040708213, 5.91320283012",45.3040708213,5.91320283012,,,,,,,,,,,,,,,,
39,Hop Pop Hop,Communale,45234,1 rue Robert de Courtenay,CAMPO SANTO JARDIN DE L'EVÊCHÉ,https://www.hoppophop.fr/,contact@hoppophop.fr / contact@lastrolabe.org,2010 et après,2016,Musique,,"Hip-hop, rap, slam, Métal, hard rock, Musiques du monde, Musiques électroniques, techno, Pop, rock",,,,Après-saison (6 septembre - 31 décembre),"47.8828634214, 1.91610357477",47.8828634214,1.91610357477,,,,,,,,,,,,,,,,
40,Festival de la chanson à texte de Montcuq-en-Quercy-Blanc,Communale,46201,1 Place Place des  Consuls,,http://www.festichanson-montcuq.com/,festichanson@gmail.com,De 2000 à 2009,2005,Musique,,,,,,Saison (21 juin - 5 septembre),"44.335497631, 1.21192283879",44.335497631,1.21192283879,,,,,,,,,,,,,,,,
41,Africa fête,Communale,13055,41 Rue Jobin,Friche la belle de mai,https://www.africafete.com,colaproduction2002@gmail.com,De 2000 à 2009,2005,Musique,,Musiques du monde,,,,Saison (21 juin - 5 septembre),"43.296346, 5.369889",43.296346,5.369889,,,,,,,,,,,,,,,,
42,Villeneuve live musique,Communale,6161,,Village,https://www.villeneuveloubet.fr,service-spectacles@mairie-villeneuve-loubet.fr,2010 et après,,Musique,,Autre,,,,Saison (21 juin - 5 septembre),"43.6492560734, 7.10728434873",43.6492560734,7.10728434873,,,,,,,,,,,,,,,,
43,Calan d'art,Communale,13055,,,,calandart13810@gmail.com,De 2000 à 2009,2008,Musique,,"Jazz, impros, chansons",,,,Avant-saison (1er janvier - 20 juin),"43.296346, 5.369889",43.296346,5.369889,,,,,,,,,,,,,,,,
44,T'en veux en corps?,Communale,1053,4 Allée Des Brotteaux,Mcc 4 allée des Brotteaux,http://groupenuits.com/index.php/festival/,production@collectif-stp.fr,De 2000 à 2009,,Spectacle vivant,Danse,,,,,Après-saison (6 septembre - 31 décembre),"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,,,,,,,,,,,,,,,,
45,Tôt Ou T'arts,Communale,1173,228 Avenue Des Alpes,Centre Socioculturel Les Libellules,https://www.festivaltotoutarts.com/,festival.totoutarts@cscleslibellules.fr,De 2000 à 2009,18ème,Spectacle vivant,Arts de la rue,,,,,Avant-saison (1er janvier - 20 juin),"46.3471891747, 6.04650555568",46.3471891747,6.04650555568,,,,,,,,,,,,,,,,
46,9ph,Communale,69123,9 Rue de l'Alma,,https://www.festival9ph.com,festival9ph@gmail.com,De 2000 à 2009,2002,"Arts visuels, arts numériques",,,,Autres (photographie),,Après-saison (6 septembre - 31 décembre),"46.1084857601, 4.56101357322",46.1084857601,4.56101357322,,,,,,,,,,,,,,,,
47,Pupitres en liberté,Communale,39198,1 Place de l'Europe,,https://www.sortiradole.fr/?id=143&uid=8155,d.gueniat@dole.org,2010 et après,2014,Musique,,Musique classique,,,,Avant-saison (1er janvier - 20 juin),"47.0755452538, 5.50062446099",47.0755452538,5.50062446099,,,,,,,,,,,,,,,,
48,Salon je lis jeun'esse,Communale,62318,Boulevard Bigot Descelers,Boulevard Bigot Descelers,https://etaples-sur-mer.fr/,communication@etaples-sur-mer.net,2010 et après,2011,"Livre, littérature",,,,,Généraliste,Après-saison (6 septembre - 31 décembre),"50.5235816785, 1.65199985504",50.5235816785,1.65199985504,,,,,,,,,,,,,,,,
49,Hallucinations collectives,Communale,69123,2 Rue d'Isly,ZONEBIS,,,2010 et après,12ème,"Cinéma, audiovisuel",,,Courts et longs métrages de fiction,,,Avant-saison (1er janvier - 20 juin),"46.0937833535, 4.64506094432",46.0937833535,4.64506094432,,,,,,,,,,,,,,,,
50,Tête de mule,Communale,42218,8 Rue de la Valse,SCIC SA Les 3C - Centre culturel cinématographique Les 3C - Cinéma LEFRANCE,,,De 2000 à 2009,19ème,"Cinéma, audiovisuel",,,"Jeune public (CM, animation, fiction)",,,Avant-saison (1er janvier - 20 juin),"45.4301235512, 4.37913997076",45.4301235512,4.37913997076,,,,,,,,,,,,,,,,
51,Festival d'orgue de Saint-Maximin - Orgue en été,Communale,83116,,Basilique saint-marie-madeleine et la croisée des arts,,,2010 et après,,Musique,,Orgue,,,,Saison (21 juin - 5 septembre),"43.4509676414, 5.85962873535",43.4509676414,5.85962873535,,,,,,,,,,,,,,,,
52,Emotions de rue,Communale,38563,93 Avenue Jean Jaurès,Maison des Jeunes et de la Culture Voiron,http://www.mjc-voiron.org/culturel/emotions-de-rue/,contact@mjc-voiron.org,,,Pluridisciplinaire,Arts de la rue,,,,,Saison (21 juin - 5 septembre),"45.3791720843, 5.58240310671",45.3791720843,5.58240310671,,,,,,,,,,,,,,,,
53,Vidéoformes,Communale,63113,190-194 Boulevard Gustave Flaubert,,https://videoformes.com,videoformes@videoformes.com,De 1980 à 1989,1986,"Arts visuels, arts numériques",,,,"Arts numériques, Installation, Performance, Photographie, Sculpture",,Avant-saison (1er janvier - 20 juin),"45.7856492991, 3.11554542903",45.7856492991,3.11554542903,,,,,,,,,,,,,,,,
54,Salon du livre,Communale,73135,564 route De la cascade,Le Colporteur,,,De 1990 à 1999,30ème,"Livre, littérature",,,,,Fiction,Après-saison (6 septembre - 31 décembre),"45.3048823312, 6.38960278843",45.3048823312,6.38960278843,,,,,,,,,,,,,,,,
55,Journées internationales de Lourmarin,Communale,84068,2 Avenue Philippe de girard,Espace albert camus,https://www.rencontres-camus.com/journees,andree.fosty@sfr.fr,De 1980 à 1989,1983,"Livre, littérature",,Autre,Documentaire,Photographie,Autre,Après-saison (6 septembre - 31 décembre),"43.7780333839, 5.36616174066",43.7780333839,5.36616174066,,,,,,,,,,,,,,,,
56,Rencontre,Communale,45235,147 rue Nationale,,https://www.ville-ormes.fr/,,2010 et après,2010,Musique,,"Musique classique, Musique contemporaine, Musiques du monde, Musiques traditionnelles",,,,Avant-saison (1er janvier - 20 juin),"47.9478927355, 1.8071403661",47.9478927355,1.8071403661,,,,,,,,,,,,,,,,
57,Salon du livre de Péronne,Communale,80620,Avenue de la République,"Espace Mac Orlan, Avenue de la République",https://www.ville-peronne.fr,bibliotheque@ville-peronne.fr,2010 et après,2015,"Livre, littérature",,,,,Généraliste,Avant-saison (1er janvier - 20 juin),"49.928328669, 2.93001266218",49.928328669,2.93001266218,,,,,,,,,,,,,,,,
58,Gratte-Monde,Communale,38421,33 Avenue Ambroise Croizat,Maison de la Poésie Rhône Alpes,http://www.maisondelapoesierhonealpes.com,,de 1980 à 1989,1986,"Livre, littérature",,,,,Poésie,Après-saison (6 septembre - 31 décembre),"45.1762012553, 5.76476360737",45.1762012553,5.76476360737,,,,,,,,,,,,,,,,
59,Grands Espaces Littéraires,Communale,63417,Rue Des mailleries,Mairie,,,2010 et après,11ème,"Livre, littérature",,,,,Fiction,Après-saison (6 septembre - 31 décembre),"45.8388005016, 3.03448182973",45.8388005016,3.03448182973,,,,,,,,,,,,,,,,
60,Le salon entre les mondes,Communale,15014,13 Rue de la Jordanne,Association Les Cantaloups-Garous,,,2010 et après,3ème,"Livre, littérature",,,,,Science-fiction,Après-saison (6 septembre - 31 décembre),"44.9245233686, 2.44162453828",44.9245233686,2.44162453828,,,,,,,,,,,,,,,,
61,Coul'heures d'automne,Communale,6004,170 Chemin Des terriers,,,labelnoteprod@gmail.com,2010 et après,2020,"Arts visuels, arts numériques",,,,"Installation, peinture, street art",,Après-saison (6 septembre - 31 décembre),"43.587465146, 7.10635418256",43.587465146,7.10635418256,,,,,,,,,,,,,,,,
62,Festival Drums Summit,Communale,31555,10 Rue Claude-Perrault,,http://www.drumssummit.com,prod@drumssummit.fr,De 1990 à 1999,,Musique,,Musiques actuelles,,,,Avant-saison (1er janvier - 20 juin),"43.5963814303, 1.43167293364",43.5963814303,1.43167293364,,,,,,,,,,,,,,,,
63,Aspects des Musiques d'Aujourd'hui,Communale,14118,1 rue du Carel,,https://conservatoire-orchestre.caen.fr/programmation?type_prog=1528,billetterie-orchestre@caenlamer.fr,De 1980 à 1989,1982,Musique,,"Musique classique, Musique contemporaine",,,,Avant-saison (1er janvier - 20 juin),"49.1847936737, -0.369801713036",49.1847936737,-0.369801713036,,,,,,,,,,,,,,,,
64,Festival du cinéma européen,Communale,81099,3 Place Rives Thomas,Bp 119,https://eurofilmfest-lille.com/,,De 2000 à 2009,,"Cinéma, audiovisuel",,,,,,Avant-saison (1er janvier - 20 juin),"43.9170968776, 1.88647213801",43.9170968776,1.88647213801,,,,,,,,,,,,,,,,
65,Faveurs,Communale,83069,13 Cours De strasbourg,1 rue racine - bp 5210 - 83 095 toulon cedex,https://faveursdeprintemps.com/,administration@tandem83.com,De 2000 à 2009,2003,Musique,,"Pop, folk",,,,Avant-saison (1er janvier - 20 juin),"43.1018713534, 6.18898508469",43.1018713534,6.18898508469,,,,,,,,,,,,,,,,
66,Pile au RDV,Communale,59512,14 Place Faidherbe,,https://www.laconditionpublique.com,p.coutant@laconditionpublique.com,De 2000 à 2009,2008,Pluridisciplinaire,,,,,,Saison (21 juin - 5 septembre),"50.6879774811, 3.18258434623",50.6879774811,3.18258434623,,,,,,,,,,,,,,,,
67,Les musiques de Beauregard,Communale,69204,106 Avenue Clémenceau,Hôtel de Ville,http://www.lesmusiquesdebeauregard.fr/,festival.baroque@mairie-saintgenislaval.fr,De 2000 à 2009,15ème,Spectacle vivant,Pluridisciplinaire à dominante spectacle vivant,,,,,Avant-saison (1er janvier - 20 juin),"45.6936777293, 4.78919028453",45.6936777293,4.78919028453,,,,,,,,,,,,,,,,
68,Music en vignes,Communale,13080,Chemin De pommier,Domaine viticole - château paradis,,contact@musicenvignes.com,De 2000 à 2009,2006,Musique,,Musiques actuelles,,,,Saison (21 juin - 5 septembre),"43.6518285649, 5.43958389565",43.6518285649,5.43958389565,,,,,,,,,,,,,,,,
69,Coup de théâtre à auribeau,Communale,6007,1 Rue Place en l'aire,,,julie.marot11@gmail.com,2010 et après,,Spectacle vivant,Théâtre,,,,,Saison (21 juin - 5 septembre),"43.612406867, 6.91211356657",43.612406867,6.91211356657,,,,,,,,,,,,,,,,
70,Fables lab,Communale,6029,1 Avenue Jean de noailles,Médiathèque noailles,https://www.cannes.com/fr/culture/mediatheques-et-bibliotheques.html,mediatheques@ville-cannes.fr,2010 et après,2016,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"43.5526202843, 7.00427592728",43.5526202843,7.00427592728,,,,,,,,,,,,,,,,
71,Lire en Baie,Communale,80228,Rue Jules Verne,"Ilot Jules Verne, Rue Jules Verne",,lireenbaie@gmail.com,2010 et après,2016,"Livre, littérature",,,,,Généraliste,Avant-saison (1er janvier - 20 juin),"50.2439123347, 1.62316246487",50.2439123347,1.62316246487,,,,,,,,,,,,,,,,
72,Salon du livre Le Touquet,Communale,62826,Avenue de l'hippodrome,"Salle des quatre saisons, avenue de l'hippodrome",https://www.letouquet.com,malorie.b@letouquet.com,De 1980 à 1989,1982,"Livre, littérature",,,,,Généraliste,Après-saison (6 septembre - 31 décembre),"50.5083984501, 1.59923820583",50.5083984501,1.59923820583,,,,,,,,,,,,,,,,
73,Montluçon Art Digital,Communale,3187,93 Rue de l'Abbaye,Association Shakers,,,2010 et après,3ème,"Arts visuels, arts numériques",,,,Peinture,,Saison (21 juin - 5 septembre),"46.3375770064, 3.45102443628",46.3375770064,3.45102443628,,,,,,,,,,,,,,,,
74,Armentières en bulles,Communale,59017,Rue Paul Pouchain,"L'Albatros, Rue Paul Pouchain",http://www.armentieres.fr/mediatheque/,eberteloot@ville-armentieres.fr,2010 et après,2018,"Livre, littérature",,,,,"Bande dessinée, comics, manga",Avant-saison (1er janvier - 20 juin),"50.6913797537, 2.8797155328",50.6913797537,2.8797155328,,,,,,,,,,,,,,,,
75,Festival Grain de sel,Communale,82033,12 Avenue Jean Moulin,,https://festivalgraindesel.com/p/presentation/,coordination@festivalgraindesel.com,2010 et après,,Musique,,,,,,Après-saison (6 septembre - 31 décembre),"44.0490326525, 1.12348123121",44.0490326525,1.12348123121,,,,,,,,,,,,,,,,
76,Polarlens,Communale,62498,Rue Denis Cordonnier,"Salle Bertinchamps, Rue Denis Cordonnier",https://polarlens.fr,adufrenne@mairie-lens.fr,De 1990 à 1999,1996,"Livre, littérature",,,,,Polar,Avant-saison (1er janvier - 20 juin),"50.4374264148, 2.82105851259",50.4374264148,2.82105851259,,,,,,,,,,,,,,,,
77,F'estival Les pépites,Communale,74258,1 Place du Gros Tilleul,,https://samoens.com/evenements-ete-2021/,adrien@samoens.com,2010 et après,,Musique,,"Chanson ou variété française, jazz, blues, Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Pop, rock, RnB",,,,Saison (21 juin - 5 septembre),"46.0878467821, 6.74329361493",46.0878467821,6.74329361493,,,,,,,,,,,,,,,,
78,À Vaulx jazz,Communale,69256,Place De la Nation,Hôtel de Ville,http://www.avaulxjazz.com,,de 1980 à 1989,1988,Musique,,Musiques actuelles,,,,Après-saison (6 septembre - 31 décembre),"45.7858821061, 4.92637767698",45.7858821061,4.92637767698,,,,,,,,,,,,,,,,
79,Biennale Appel d'air,Communale,62041,2 Rue Rue des Jongleurs,,https://www.biennaleappeldair.fr/,appeldair5.mem@gmail.com,2010 et après,2016,"Arts visuels, arts numériques",,,,"Installation, Peinture, Photographie, Sculpture, Street art, Ateliers avec les habitants de la ville",,Avant-saison (1er janvier - 20 juin),"50.2898964997, 2.76587316711",50.2898964997,2.76587316711,,,,,,,,,,,,,,,,
80,Terre de bulles,Communale,43112,Place De la Favière,Mairie,http://www.ville-langeac.fr,,2010 et après,11ème,"Livre, littérature",,,,,Bande dessinée,Avant-saison (1er janvier - 20 juin),"45.0822541836, 3.47806203807",45.0822541836,3.47806203807,,,,,,,,,,,,,,,,
81,Estiv'arcs,Communale,83004,,Centre ville,https://www.lesesterelles.com,les.esterelles@gmail.com,2010 et après,2016,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"43.4509882105, 6.48970221222",43.4509882105,6.48970221222,,,,,,,,,,,,,,,,
82,Fête du livre de Montataire,Communale,60414,,"Les bibliothèques, le Palace, le Château de Montataire",https://www.mairie-montataire.fr,ggouiffes@mairie-montataire.fr,De 2000 à 2009,2015,"Livre, littérature",,,,,Généraliste,Avant-saison (1er janvier - 20 juin),"49.2632645948, 2.43135724334",49.2632645948,2.43135724334,,,,,,,,,,,,,,,,
83,Salon plaisir de lire,Communale,15248,,Bibliothèque de Valuéjols - Association Plaisir de Lire,,,De 1990 à 1999,1999,"Livre, littérature",,,,,Fiction,Avant-saison (1er janvier - 20 juin),"45.0532332221, 2.90711082999",45.0532332221,2.90711082999,,,,,,,,,,,,,,,,
84,Les guitares,Communale,69266,51 Rue du 4 août 1789,Association Centre Léo Lagrange Espace Tonkin,,,de 1980 à 1989,1989,Musique,,Musiques actuelles,,,,Après-saison (6 septembre - 31 décembre),"45.7707704179, 4.88845817426",45.7707704179,4.88845817426,,,,,,,,,,,,,,,,
85,Flâneries d'art contemporain dans les jardins aixois,Communale,13001,9 Avenue Paul cézanne,,https://www.aix-en-oeuvres.com,aix-en-oeuvres@wanadoo.fr,De 2000 à 2009,2007,Pluridisciplinaire,Théâtre,Classique,,Sculpture,Autre,Saison (21 juin - 5 septembre),"43.5360708378, 5.39857444582",43.5360708378,5.39857444582,,,,,,,,,,,,,,,,
86,Les nuits du real,Communale,83004,,Théâtre de verdure,,nico041282@gmail.com,2010 et après,,Musique,,"Chanson ou variété française, musiques traditionnelles, opéra, pop, rock",,,,Saison (21 juin - 5 septembre),"43.4509882105, 6.48970221222",43.4509882105,6.48970221222,,,,,,,,,,,,,,,,
